Student_ID,Gender,Age,Course,City,Attendance,Study_Hours,Assignment_Score,Project_Score,Aptitude_Score,Communication_Score,Internship,Backlogs,Placement,Package_LPA
STU001,Male,18,BTech,Bengaluru,70.8,2.5,76.5,83.4,49.9,43.5,Yes,0,Not Placed,0.0
STU002,Male,24,MCA,Noida,77.4,3.6,80.3,70.8,71.8,60.9,Yes,0,Placed,6.27
STU003,Female,18,BSc,Delhi,79.8,8.8,90.1,95.0,85.7,68.8,No,0,Placed,5.85
STU004,Female,19,MCA,Delhi,89.3,4.4,62.7,81.7,74.8,79.1,No,0,Placed,5.84
STU005,Male,25,BSc,Lucknow,71.7,8.4,73.7,93.1,68.2,56.6,No,0,Placed,6.06
STU006,Male,23,MCA,Pune,82.7,4.5,82.8,80.2,68.2,69.9,Yes,0,Not Placed,0.0
STU007,Female,21,MCA,Bengaluru,79.1,2.2,71.9,74.0,51.3,55.9,Yes,0,Not Placed,0.0
STU008,Female,18,BCA,Lucknow,83.4,5.5,76.7,97.5,79.2,70.7,No,0,Placed,6.34
STU009,Female,21,MCA,Mumbai,75.2,2.7,68.1,90.6,57.4,75.6,Yes,0,Not Placed,0.0
STU010,Female,21,BCA,Delhi,70.6,5.8,68.8,95.8,77.0,87.1,Yes,0,Not Placed,0.0
STU011,Female,24,MCA,Lucknow,92.2,7.2,83.9,89.9,61.3,60.8,No,0,Placed,5.46
STU012,Female,18,MCA,Bengaluru,81.1,1.6,66.7,66.3,65.1,62.3,No,0,Not Placed,0.0
STU013,Male,25,MCA,Lucknow,86.4,7.6,85.6,99.9,66.2,64.4,No,0,Not Placed,0.0
STU014,Male,24,BTech,Lucknow,86.9,2.3,74.7,83.5,69.3,64.6,No,3,Not Placed,0.0
STU015,Male,18,BCA,Pune,92.0,7.9,91.6,100,79.6,54.0,Yes,0,Placed,7.72
STU016,Female,20,MCA,Bengaluru,72.7,8.8,73.8,87.8,69.7,84.9,No,0,Placed,6.92
STU017,Male,20,BCA,Bengaluru,81.3,6.6,80.3,95.2,78.6,62.5,No,0,Not Placed,0.0
STU018,Female,22,MCA,Lucknow,83.1,3.9,73.4,83.6,61.0,76.4,No,2,Not Placed,0.0
STU019,Male,21,BTech,Bengaluru,65.8,4.1,73.7,82.7,62.7,71.3,Yes,0,Not Placed,0.0
STU020,Male,22,BCA,Noida,92.7,2.5,76.5,78.1,59.2,64.3,No,0,Not Placed,0.0
STU021,Female,22,BCA,Lucknow,63.5,4.7,68.9,81.2,67.7,49.3,No,0,Not Placed,0.0
STU022,Male,19,MCA,Delhi,80.0,7.8,78.6,92.6,81.0,80.8,No,0,Not Placed,0.0
STU023,Male,19,BTech,Lucknow,86.2,8.1,76.2,100,89.7,88.6,No,0,Not Placed,0.0
STU024,Male,23,BSc,Pune,86.9,8.0,87.8,92.9,77.8,72.3,No,0,Not Placed,0.0
STU025,Female,22,MCA,Noida,69.9,6.5,70.5,91.3,86.2,67.4,No,0,Not Placed,0.0
STU026,Male,19,BTech,Hyderabad,68.0,8.7,80.2,100,59.8,60.5,No,0,Placed,5.76
STU027,Female,18,MCA,Pune,74.9,2.0,63.4,65.5,54.8,67.4,Yes,0,Not Placed,0.0
STU028,Female,20,MCA,Bengaluru,76.6,8.6,72.9,88.0,56.6,68.8,Yes,0,Placed,7.82
STU029,Female,25,BSc,Mumbai,77.2,3.1,52.8,72.2,66.8,48.9,No,0,Not Placed,0.0
STU030,Male,22,MCA,Pune,87.1,2.6,94.0,88.6,52.8,53.2,No,0,Not Placed,0.0
STU031,Female,24,MCA,Bengaluru,66.6,6.7,87.5,84.2,83.4,49.6,No,0,Not Placed,0.0
STU032,Male,19,BSc,Bengaluru,65.9,5.0,60.5,76.7,60.0,71.2,No,0,Not Placed,0.0
STU033,Female,20,BSc,Lucknow,77.5,7.1,83.3,88.6,75.1,50.4,Yes,0,Placed,6.28
STU034,Male,20,MCA,Hyderabad,75.5,2.6,82.4,79.8,73.9,54.1,No,0,Not Placed,0.0
STU035,Male,24,BSc,Delhi,54.9,4.1,65.1,77.5,43.5,68.2,No,0,Not Placed,0.0
STU036,Female,24,BSc,Lucknow,58.5,4.0,71.9,75.7,54.3,52.2,No,1,Not Placed,0.0
STU037,Male,24,MCA,Mumbai,89.3,2.9,74.4,75.7,75.8,53.4,Yes,0,Placed,8.35
STU038,Male,25,BCA,Bengaluru,85.3,1.9,75.0,71.2,87.0,53.8,Yes,0,Not Placed,0.0
STU039,Male,21,MCA,Delhi,78.1,2.4,76.8,72.4,63.5,72.9,No,0,Not Placed,0.0
STU040,Female,19,BCA,Noida,92.2,5.8,88.3,87.0,79.4,69.1,No,0,Not Placed,0.0
STU041,Male,18,BTech,Pune,79.7,6.5,89.6,99.0,82.8,62.7,Yes,0,Not Placed,0.0
STU042,Male,24,MCA,Mumbai,84.8,8.7,84.6,100,66.5,58.3,No,0,Not Placed,0.0
STU043,Male,22,BSc,Noida,70.7,5.0,66.2,75.7,86.9,53.8,Yes,0,Placed,8.13
STU044,Male,21,BCA,Delhi,70.6,4.5,62.5,72.0,64.2,59.9,Yes,0,Placed,5.8
STU045,Female,23,BSc,Hyderabad,80.2,4.1,83.4,83.3,61.1,66.9,Yes,0,Placed,6.77
STU046,Male,21,MCA,Hyderabad,85.0,3.6,54.1,60.1,58.5,79.0,Yes,0,Placed,6.27
STU047,Male,22,BCA,Mumbai,95.3,5.7,81.3,84.5,81.4,69.6,No,0,Placed,6.73
STU048,Female,19,BCA,Mumbai,76.0,2.1,69.2,69.7,60.5,49.7,No,2,Not Placed,0.0
STU049,Male,24,BSc,Noida,91.1,3.7,73.5,71.5,63.2,81.4,Yes,0,Placed,7.57
STU050,Male,20,MCA,Hyderabad,67.8,2.1,72.7,72.9,54.5,49.9,No,0,Not Placed,0.0
STU051,Male,22,MCA,Noida,76.7,5.6,65.4,68.5,71.8,48.4,Yes,0,Not Placed,0.0
STU052,Female,19,BSc,Mumbai,83.6,6.7,89.8,91.6,69.4,51.5,Yes,0,Placed,8.8
STU053,Male,22,BCA,Pune,85.7,2.8,83.1,70.3,64.7,62.2,No,0,Not Placed,0.0
STU054,Female,23,BCA,Mumbai,88.9,4.0,76.0,78.3,61.3,86.5,No,0,Placed,5.23
STU055,Female,18,BSc,Hyderabad,76.4,2.9,60.3,81.5,52.6,48.7,No,0,Not Placed,0.0
STU056,Female,19,BCA,Lucknow,95.2,6.1,83.9,95.4,62.3,50.5,No,0,Not Placed,0.0
STU057,Male,25,BTech,Mumbai,79.1,3.6,83.1,62.4,66.9,67.3,No,0,Not Placed,0.0
STU058,Male,22,BSc,Pune,74.1,7.4,79.4,94.3,70.3,52.1,No,0,Not Placed,0.0
STU059,Female,23,BSc,Mumbai,77.6,3.9,76.6,91.9,60.2,74.9,Yes,0,Not Placed,0.0
STU060,Female,24,MCA,Pune,78.7,1.8,56.4,65.9,76.7,55.0,No,0,Not Placed,0.0
STU061,Male,19,BSc,Mumbai,86.3,3.5,68.2,70.5,75.3,71.6,No,0,Not Placed,0.0
STU062,Female,18,BCA,Noida,70.4,6.6,74.8,94.9,94.2,87.0,No,0,Placed,7.26
STU063,Male,22,BTech,Bengaluru,75.2,2.6,69.7,63.4,61.2,74.1,No,0,Not Placed,0.0
STU064,Male,21,BSc,Noida,82.3,4.9,78.9,76.2,51.1,59.2,Yes,0,Not Placed,0.0
STU065,Female,22,BSc,Hyderabad,88.4,3.0,83.2,72.7,74.5,50.1,No,0,Not Placed,0.0
STU066,Female,22,BCA,Noida,80.5,6.6,75.1,89.3,69.5,56.1,Yes,0,Placed,7.12
STU067,Male,21,BTech,Hyderabad,83.3,6.9,73.2,76.9,58.8,56.7,Yes,0,Not Placed,0.0
STU068,Male,19,BTech,Pune,73.7,4.6,76.6,96.3,74.3,57.9,Yes,0,Not Placed,0.0
STU069,Female,23,BCA,Lucknow,78.0,2.1,67.7,65.3,56.6,54.5,No,0,Placed,4.97
STU070,Female,23,BTech,Lucknow,81.0,7.7,86.5,100,73.2,72.5,No,0,Placed,7.02
STU071,Female,22,BSc,Hyderabad,65.0,1.8,88.1,83.3,65.8,72.2,No,0,Not Placed,0.0
STU072,Female,20,BSc,Hyderabad,82.7,7.8,69.3,79.0,72.6,68.1,Yes,0,Placed,7.84
STU073,Female,18,BSc,Delhi,71.9,8.8,81.2,100,69.7,55.6,No,0,Placed,7.61
